,mmsi,time,lon,lat,imo,vessel_name,dim_bow,dim_stern,dim_port,dim_star,ship_type,ship_type_txt
0,1,1444363127,-59.0997583333,43.7618866667,7912094,CAPE FINISTERRE,15,50,2,11,30,Fishing
1,1,1444363129,-59.0997583333,43.7618866667,7912094,CAPE FINISTERRE,15,50,2,11,30,Fishing
2,111014,1444874313,-59.3375566667,43.7072266667,,E.B.-FISHINGBUOY-14,,,,,,
3,111014,1444879280,-59.3553516667,43.7023966667,,E.B.-FISHINGBUOY-14,,,,,,
4,372004,1437701328,-59.2776016667,43.64684,,FA-FISHINGBEACON-04,,,,,,
5,372013,1437876715,-59.2191166667,43.673415,,FA-FISHINGBEACON-13,,,,,,
6,372014,1437532364,-59.1590116667,43.69872,,FA-FISHINGBEACON-14,,,,,,
7,445014,1438142672,-59.235655,43.67799,,JJ-FISHINGBEACON-14,,,,,,
8,493001,1440120217,-59.0809283333,43.80898,,SB-FISHINGBEACON-01,,,,,,
9,493004,1439125250,-59.128455,43.6892566667,,SB-FISHINGBEACON-04,,,,,,
10,493004,1439692293,-59.1938266667,43.6894083333,,SB-FISHINGBEACON-04,,,,,,
11,493004,1439857790,-59.148315,43.6909216667,,SB-FISHINGBEACON-04,,,,,,
12,493006,1439352662,-59.2116316667,43.6782466667,,SB-FISHINGBEACON-06,,,,,,
13,493007,1439869537,-59.0836333333,43.7388816667,,,,,,,,
14,493008,1439352773,-59.27118,43.6691366667,,SB-FISHINGBEACON-08,,,,,,
15,493009,1438907820,-59.29997,43.6900866667,,SB-FISHINGBEACON-09,,,,,,
16,493011,1439094168,-59.049235,43.867585,,SB-FISHINGBEACON-11,,,,,,
17,493012,1438996794,-59.1506533333,43.7117866667,,SB-FISHINGBEACON-12,,,,,,
18,493012,1439036377,-59.23515,43.6969416667,,SB-FISHINGBEACON-12,,,,,,
19,493012,1439173658,-59.1457683333,43.6985516667,,SB-FISHINGBEACON-12,,,,,,
20,493012,1439176387,-59.1497833333,43.697955,,SB-FISHINGBEACON-12,,,,,,
21,493012,1439352756,-59.396015,43.661035,,SB-FISHINGBEACON-12,,,,,,
22,493014,1439170296,-59.2077083333,43.6843,,,,,,,,
23,493014,1439173670,-59.2108383333,43.6830333333,,,,,,,,
24,493016,1439520952,-59.1853483333,43.697665,,,,,,,,
25,493016,1439523257,-59.18005,43.69941,,,,,,,,
26,493017,1438995397,-59.2345,43.6764916667,,SB-FISHINGBEACON-17,,,,,,
27,493018,1439775165,-59.08412,43.71695,,SB-FISHINGBEACON-18,,,,,,
28,493020,1439601468,-59.1837516667,43.6761416667,,SB-FISHINGBEACON-20,,,,,,
29,647015,1444695533,-59.3456883333,43.7223966667,,,,,,,,
30,957021,1444354558,-59.0933683333,43.7482516667,,MH-FISHINGBEACON-21,,,,,,
31,957021,1444362962,-59.1154433333,43.7259283333,,MH-FISHINGBEACON-21,,,,,,
32,957022,1442451513,-59.1886366667,43.688865,,MH-FISHINGBEACON-22,,,,,,
33,957022,1442459830,-59.1948183333,43.6819366667,,MH-FISHINGBEACON-22,,,,,,
34,957022,1442538958,-59.070655,43.7591866667,,MH-FISHINGBEACON-22,,,,,,
35,957022,1442538988,-59.070655,43.75917,,MH-FISHINGBEACON-22,,,,,,
36,957022,1442545083,-59.0697933333,43.7599283333,,MH-FISHINGBEACON-22,,,,,,
37,957022,1442547898,-59.0689583333,43.7566166667,,MH-FISHINGBEACON-22,,,,,,
38,957022,1442548054,-59.06877,43.756295,,MH-FISHINGBEACON-22,,,,,,
39,957026,1442548065,-59.2141883333,43.6679283333,,MH-FISHINGBEACON-26,,,,,,
40,957027,1442627866,-59.2316033333,43.676405,,MH-FISHINGBEACON-27,,,,,,
41,957027,1444351070,-59.3423883333,43.65817,,MH-FISHINGBEACON-27,,,,,,
42,957027,1444351084,-59.34236,43.6580966667,,MH-FISHINGBEACON-27,,,,,,
43,957027,1444439037,-59.385295,43.6667983333,,MH-FISHINGBEACON-27,,,,,,
44,145130066,1424783034,-59.2052466667,44.1185416667,,,,,,,,
45,212450000,1426471124,-59.044505,43.6752583333,9413925,ANDEAN,162,23,13,11,70,Cargo ships
46,212450000,1426471154,-59.0427283333,43.6761366667,9413925,ANDEAN,162,23,13,11,70,Cargo ships
47,212450000,1426471285,-59.03497,43.679835,9413925,ANDEAN,162,23,13,11,70,Cargo ships
48,235075024,1439697880,-58.7906,43.8506166667,9398333,TOSCANA,34,166,25,8,70,Cargo ships
